username;firstName;lastName;email;password;role;birthday;class;children
norahparis;Norah;Paris;example@ente.app;p4sswort!;student;2000-02-01;2019;
marcusparis;Marcus;Paris;example@ente.app;p4sswort!;student;2100-02-01;2021;
seymourparis;Seymour;Paris;example@ente.app;p4sswort!;parent;;;norahparis:marcusparis
candaceparis;Candace;Paris;example@ente.app;p4sswort!;parent;;;norahparis:marcusparis
montyabrams;Monty;Abrams;example@ente.app;p4sswort!;student;2100-04-02;2019;
penabrams;Pen;Abrams;example@ente.app;p4sswort!;student;2050-03-09;2021;
hermanabrams;Herman;Abrams;example@ente.app;p4sswort!;parent;;;montyabrams:penabrams
claudabrams;Claud;Abrams;example@ente.app;p4sswort!;parent;;;montyabrams:penabrams
orvillekeighley;Orville;Keighley;example@ente.app;p4sswort!;teacher;;;
luannedavidson;Luanne;Davidson;example@ente.app;p4sswort!;teacher;;;
rufuskay;Rufus;Kay;example@ente.app;p4sswort!;manager;;2019;
daytonkimberly;Dayton;Kimberly;example@ente.app;p4sswort!;manager;;2021;
